"","gene_name","antibody_name","RNASeq_name","RPPAFC","RNAFC","log2RPPAFC","log2RNAFC","max_log_FC","max_RPPAorRNA"
"127","EGFR","EGFR, EGFR_pY1068_Caution","ENSG00000146648.11",1.73100569852088,0.793648924066024,0.791610474106213,-0.333427132252447,0.791610474106213,"RPPA"
"128","EIF4EBP1","4E-BP1, 4E-BP1_pS65","ENSG00000187840.4",0.79538765363779,1.09539691519883,-0.330269926726858,0.131453722640287,-0.330269926726858,"RPPA"
"129","ERBB2","HER2, HER2_pY1248_Caution","ENSG00000141736.9",0.83463260987836,0.764962113126545,-0.260786805737391,-0.386539798791877,-0.386539798791877,"RNA"
"130","ERBB3","HER3, HER3_pY1289_Caution","ENSG00000065361.10",0.820934203663912,1.04950147739696,-0.284661497551363,0.0697041975321813,-0.284661497551363,"RPPA"
"131","ESR1","ER-alpha, ER-alpha_pS118","ENSG00000091831.17",0.354733704930701,1.79967746689954,-1.49519168080763,0.847738374000255,-1.49519168080763,"RPPA"
"132","FOXO3","FOXO3a_Caution, FOXO3a_pS318_S321_Caution","ENSG00000118689.10",0.85907874126563,1.03713791595983,-0.219137723212642,0.052607752821737,-0.219137723212642,"RPPA"
"133","GSK3B","GSK3-alpha-beta, GSK3-alpha-beta_pS21_S9","ENSG00000082701.10",0.92343640184051,1.04121674341984,-0.11491549037569,0.058270416484461,-0.11491549037569,"RPPA"
"134","MAP2K1","MEK1, MEK1_pS217_S221","ENSG00000169032.5",1.02630317765795,0.944256842067513,0.0374569768442836,-0.0827487624426097,-0.0827487624426097,"RNA"
"135","MAPK14","p38_MAPK, p38_pT180_Y182","ENSG00000112062.6",0.929700931709476,0.918612930862229,-0.105161393429485,-0.122471003077351,-0.122471003077351,"RNA"
"136","MET","c-Met_Caution, c-Met_pY1235","ENSG00000105976.10",1.40552856116782,0.81747236745348,0.491112770428694,-0.290758130040063,0.491112770428694,"RPPA"
"137","MTOR","mTOR, mTOR_pS2448_Caution","ENSG00000198793.8",0.896546267204983,1.02673361690132,-0.157550058090625,0.0380619271038714,-0.157550058090625,"RPPA"
"138","PDK1","PDK1, PDK1_pS241","ENSG00000152256.9",1.0645237608219,1.05750084321093,0.0902081519859335,0.0806588136958145,0.0902081519859335,"RPPA"
"139","PEA15","PEA15, PEA15_pS116","ENSG00000162734.8",0.716719978082404,0.945488611473019,-0.480518525667474,-0.0808680140474391,-0.480518525667474,"RPPA"
"140","PRKAA1","AMPK_alpha_Caution, AMPK_pT172","ENSG00000132356.7",1.00958338997365,1.01957139472998,0.013760079894495,0.0279628025408998,0.0279628025408998,"RNA"
"141","PRKCA","PKC-alpha, PKC-alpha_pS657_Caution","ENSG00000154229.7",1.00644024437071,0.866228026958479,0.00926151730719793,-0.207181243077735,-0.207181243077735,"RNA"
"142","RB1","Rb_Caution, Rb_pS807_S811","ENSG00000139687.9",0.807408999084472,1.00334285096125,-0.308628428229717,0.00481467161545746,-0.308628428229717,"RPPA"
"143","RICTOR","Rictor_Caution, Rictor_pT1135","ENSG00000164327.8",1.04248850578792,1.00655856009437,0.0600314769704831,0.00943110857331656,0.0600314769704831,"RPPA"
"144","RPS6KA1","p90RSK_Caution, p90RSK_pT359_S363_Caution","ENSG00000117676.9",1.29603188706836,0.839861256199592,0.374101214171196,-0.251777078335688,0.374101214171196,"RPPA"
"145","RPS6KB1","p70S6K, p70S6K_pT389","ENSG00000108443.9",0.837326774371454,1.16988336767793,-0.25613733738991,0.226364706509514,-0.25613733738991,"RPPA"
"146","SRC","Src, Src_pY416_Caution","ENSG00000197122.7",0.82851089733071,1.03412727843171,-0.271407421675298,0.048413760760907,-0.271407421675298,"RPPA"
"147","STAT3","STAT3_Caution, STAT3_pY705","ENSG00000168610.10",0.872522385416081,0.857867435398694,-0.196735949336441,-0.221173366823275,-0.221173366823275,"RNA"
"148","TSC2","Tuberin, Tuberin_pT1462","ENSG00000103197.12",0.985696379894928,1.10433019131808,-0.0207847674276602,0.143171597980348,0.143171597980348,"RNA"
"149","YAP1","YAP_Caution, YAP_pS127_Caution","ENSG00000137693.9",0.723564416621254,0.949306792234473,-0.466806633896605,-0.0750536892977874,-0.466806633896605,"RPPA"
"150","YBX1","YB-1, YB-1_pS102","ENSG00000065978.13",0.951384848593484,0.976401947051571,-0.0718990452366695,-0.0344529228747627,-0.0718990452366695,"RPPA"
