"","gene","ensembl","Antibody","max_FC_log2","is_max"
"343","AC004540.2","ENSG00000225792.1",NA,-3.82500159918277,0
"344","AC004542.1","ENSG00000269972.1",NA,-0.188953319100474,0
"345","AC004542.2","ENSG00000269987.1",NA,-0.502500340529183,0
"346","AC004552.1","ENSG00000225071.1",NA,0.0614358836160218,0
"348","AC004584.1","ENSG00000262298.1",NA,1.34298971041519,0
"350","AC004584.3","ENSG00000263120.1",NA,-0.377676971774917,0
"351","AC004585.1","ENSG00000266088.1",NA,-3.62329061938026,0
"352","AC004590.1","ENSG00000251239.1",NA,-1.03355255971103,0
"353","AC004594.1","ENSG00000240499.3",NA,2.56293619439116,0
"354","AC004596.1","ENSG00000267394.1",NA,0.101962410945454,0
"355","AC004597.1","ENSG00000268673.3",NA,-0.388565287917653,0
"356","AC004637.1","ENSG00000267304.1",NA,0.242200902416628,0
"357","AC004672.1","ENSG00000249028.2",NA,-0.111031312388744,0
"359","AC004674.1","ENSG00000231216.1",NA,-2.21056698593966,0
"360","AC004674.2","ENSG00000235592.1",NA,-2.06853138167082,0
"361","AC004687.1","ENSG00000265206.2",NA,-3.71504855290861,0
"363","AC004691.1","ENSG00000229263.1",NA,-1.46466826700344,0
"364","AC004691.2","ENSG00000250424.3",NA,-1.79354912253257,0
"365","AC004692.1","ENSG00000213717.3",NA,-3.52606881166759,0
"367","AC004704.1","ENSG00000249815.1",NA,-3.63314603423112,0
"368","AC004706.1","ENSG00000261996.1",NA,-0.0943923702749547,0
"369","AC004707.2","ENSG00000253102.1",NA,1.29409388669064,0
"370","AC004771.1","ENSG00000234203.1",NA,-0.58897556322778,0
"371","AC004771.2","ENSG00000262227.1",NA,-0.824933241246439,0
"372","AC004771.3","ENSG00000262429.1",NA,0.15200309344505,0
"373","AC004771.4","ENSG00000262678.1",NA,0.594181030750535,0
"374","AC004775.1","ENSG00000272203.1",NA,-1.77760757866355,0
"376","AC004801.1","ENSG00000226138.3",NA,0.521759713423027,0
"377","AC004801.2","ENSG00000240399.1",NA,-0.326914817736923,0
"378","AC004801.3","ENSG00000257955.1",NA,1.84130225398094,0
"379","AC004801.4","ENSG00000257985.1",NA,3.05889368905357,0
"380","AC004801.5","ENSG00000258203.1",NA,2.88671271367089,0
"381","AC004803.1","ENSG00000250132.2",NA,-0.596722812901174,0
"382","AC004805.1","ENSG00000266076.1",NA,-6.81762325751143,0
"385","AC004816.1","ENSG00000259153.1",NA,-0.222365776062396,0
"387","AC004817.3","ENSG00000269927.1",NA,-1.82693529102712,0
"388","AC004817.4","ENSG00000269945.1",NA,-2.26303440583379,0
"390","AC004830.2","ENSG00000228204.2",NA,2.24092837277388,0
"393","AC004832.3","ENSG00000249590.3",NA,1.16492648612282,0
"394","AC004832.4","ENSG00000272689.1",NA,1.00047700282825,0
"395","AC004832.5","ENSG00000273350.1",NA,0.105022859782769,0
"396","AC004832.6","ENSG00000273428.1",NA,-2.467605550083,0
"397","AC004835.1","ENSG00000230392.1",NA,3.4648860487294,0
"399","AC004837.1","ENSG00000106540.4",NA,-2.58496250072116,0
"400","AC004837.2","ENSG00000228554.1",NA,0.0390852079733879,0
"401","AC004837.3","ENSG00000231951.1",NA,-0.147557188413858,0
"403","AC004839.2","ENSG00000272854.1",NA,-0.75624351926975,0
"404","AC004840.1","ENSG00000230914.2",NA,0.689659879387849,0
"405","AC004840.2","ENSG00000271163.1",NA,-0.538668848447221,0
"406","AC004846.1","ENSG00000258376.1",NA,-1.7245836559967,0
"407","AC004846.2","ENSG00000258944.1",NA,-0.390547829168061,0
"408","AC004847.1","ENSG00000260997.1",NA,1.05889368905357,0
"409","AC004854.1","ENSG00000230160.1",NA,-0.319617934200162,0
"410","AC004854.2","ENSG00000272768.1",NA,-0.0533632255987253,0
"412","AC004865.1","ENSG00000236274.1",NA,1.05889368905357,0
"413","AC004865.2","ENSG00000239636.1",NA,0.17468348258585,0
"414","AC004870.1","ENSG00000214754.3",NA,-1.66902676550963,0
"415","AC004870.2","ENSG00000223829.1",NA,-7.43778305533253,0
"417","AC004877.1","ENSG00000273419.1",NA,-0.0154414303722032,0
"418","AC004882.2","ENSG00000232396.2",NA,-0.793549122532574,0
"419","AC004884.1","ENSG00000213361.2",NA,0.457087678168998,0
"420","AC004884.2","ENSG00000242154.1",NA,-0.283072159070339,0
"421","AC004890.1","ENSG00000239719.1",NA,0.365905791947965,0
"422","AC004890.2","ENSG00000244560.2",NA,0.306646061973605,0
"423","AC004890.3","ENSG00000271664.1",NA,-0.335616407968694,0
"424","AC004895.1","ENSG00000231704.1",NA,0.658110173454967,0
"425","AC004898.1","ENSG00000236018.2",NA,0.00677095797743599,0
"426","AC004899.1","ENSG00000225705.2",NA,-0.941106310946431,0
"427","AC004908.1","ENSG00000272240.1",NA,0.342671731060129,0
"428","AC004908.2","ENSG00000272812.1",NA,0.0713727601318568,0
"429","AC004908.3","ENSG00000273402.1",NA,0.00140819439280859,0
"430","AC004911.1","ENSG00000226592.1",NA,-5.36923380966572,0
"432","AC004918.1","ENSG00000244701.1",NA,-0.653864498143641,0
"433","AC004918.5","ENSG00000270157.1",NA,-0.207624670160806,0
"434","AC004920.1","ENSG00000236046.1",NA,-1.43295940727611,0
"435","AC004921.1","ENSG00000273341.1",NA,-1.91511110241349,0
"436","AC004923.1","ENSG00000254610.1",NA,-0.933186647650194,0
"438","AC004923.4","ENSG00000255306.1",NA,-1.39041371231002,0
"439","AC004941.1","ENSG00000228151.1",NA,-0.485426827170242,0
"440","AC004941.2","ENSG00000231397.1",NA,-1.77441577417384,0
"441","AC004943.1","ENSG00000259209.1",NA,-1.29086861403052,0
"442","AC004943.2","ENSG00000259768.3",NA,-0.387023123109247,0
"444","AC004947.1","ENSG00000233760.1",NA,-4.30883809544692,0
"445","AC004948.1","ENSG00000272745.1",NA,0.712986731231766,0
"446","AC004951.1","ENSG00000228434.1",NA,-0.383743582528654,0
"447","AC004951.2","ENSG00000239556.2",NA,-0.291793398815217,0
"448","AC004951.3","ENSG00000241057.1",NA,-0.550064292736566,0
"449","AC004951.4","ENSG00000273432.1",NA,-0.680249558418008,0
"450","AC004967.1","ENSG00000243554.1",NA,-0.0826927884461432,0
"451","AC004969.1","ENSG00000238358.2",NA,-0.388565287917653,0
"452","AC004973.1","ENSG00000226661.1",NA,-2.46466826700344,0
"453","AC004975.1","ENSG00000224629.1",NA,-0.0381609949935908,0
"454","AC004975.2","ENSG00000229660.1",NA,-0.446341619196854,0
"455","AC004980.1","ENSG00000205485.9",NA,-0.549889376584942,0
"456","AC004980.2","ENSG00000214243.3",NA,-0.960471635813363,0
"457","AC004980.3","ENSG00000230305.2",NA,-1.1788739581698,0
"459","AC004982.1","ENSG00000272732.1",NA,1.48903808072262,0
"460","AC004982.2","ENSG00000272894.1",NA,1.0944817778266,0
"463","AC004987.2","ENSG00000237251.2",NA,-0.400537929583729,0
"464","AC004987.3","ENSG00000270797.1",NA,0.0995356735509141,0
